Category	BusinessName	Hours	City	Website	Address
Eating out	Bravo Restaurant	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Brookfield	www.bravoitalian.com	Brookfield Square, 95 N Moorland Rd, Brookfield, WI 53005
Eating out	Bartolota Restaurant	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Wauwatosa	www.bartolottas.com	7616 W State St, Wauwatosa, WI 53213
Eating out	STIR Crazy	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Brookfield	www.stircrazy.com	Brookfield Square, 15795 W Bluemound Rd, Brookfield, WI 53005
Eating out	RiverMill Café	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Elm Grove	www.rivermillfoods.com	890 Elm Grove Rd, Elm Grove, WI 53122
Sports	Miller Park	Hours vary by event	Milwaukee	http://milwaukee.brewers.mlb.com/mil/ballpark	Brewers Way Miller Park Milwaukee, WI 53214
Sports	BMO Harris Bradley Cener	Hours vary by event	Milwaukee	www.bmoharrisbradleycenter.com	1001 N 4th St, Milwaukee, WI 53203
Sports	Pettit National Ice Center 	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	West Allis	thepettit.com	500 S 84th St, Milwaukee, WI 53214
Shopping	Mayfair Mall	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Wauwatosa	www.mayfairmall.com 	2500 N Mayfair Rd, Ste M186, Wauwatosa, WI 53226
Shopping	Brookfield Mall	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Brookfield	www.shopbrookfieldsquaremall.com	12575 W Capitol Dr, Broofield, 53005
Shopping	Southridge Mall	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Greendale	www.shopsouthridgemall.com	5300 S 76th St, Greendale, WI 53129
Shopping	Bayshore Mall	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Glendale	www.bayshoretowncenter.com	5800 N Bayshore Dr, Glendale WI 53217
Musseum	Milwaukee Art Museum	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Milwaukee	www.mam.org	Glendale, WI
Musseum	The Harley-Davison Museum	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Milwaukee	www.harley-davidson.com/Museum‎	400 W Canal St, Milwaukee, WI 53201
Musseum	Betty Brinn Childrens Museum	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Milwaukee	www.bbcmkids.org/	929 E Wisconsin Ave, Milwaukee, WI 53202
Musseum	Discovery World Museum	Mon - Fri: 10 AM to 11: PM; SAT - SUN: 11 AM to 11:00 PM	Milwaukee	www.discoveryworld.org	500 N Harbor Dr, Milwaukee, WI 53202
